firstname,lastname,university,city,country,award
Bradley,Ward,De Montfort University,Leicester,United Kingdom,Best Paper Award
Marek,Sosnicki,Wroclaw University of Technology,Wroclaw,Polska,Best Paper Award
Barbara,Bobowska,Wroclaw University of Technology,Wroclaw,Poland,Best Paper Award
Aaron,Edwards,De Montfort University,Leicester,United Kingdom,Best Paper Award
Michal,Rogowski,Wroclaw University of Technology,Wroclaw,Polska,Special Award
Oskar,Speruda,Wroclaw University of Technology,Wroclaw,Polska,Special Award
